id_alerta,id_siniestro,codigo,categoria,severidad,puntos,descripcion,evidencia,es_critica
ALT000025,SIN00006,RF-16,Frecuencia,Media,4,Conductor con reincidencia moderada.,2 siniestros del conductor.,False
ALT000026,SIN00007,RF-06,Denuncia,Alta,8,Demora atipica en denuncia de robo.,55 horas hasta la denuncia.,False
ALT000027,SIN00007,RF-15,Frecuencia,Media,6,Vehiculo asociado a multiples siniestros.,3 siniestros del vehiculo.,False
ALT000028,SIN00007,RF-16,Frecuencia,Media,4,Conductor con reincidencia moderada.,2 siniestros del conductor.,False
ALT000029,SIN00008,RF-08,Frecuencia,Alta,8,Asegurado con alta frecuencia historica de reclamos.,3 siniestros previos.,False
ALT000030,SIN00008,RF-11,Documentos,Alta,10,"Documentos con fechas, valores o legibilidad inconsistentes.",1 documento(s) inconsistentes.,False
ALT000031,SIN00008,RF-10,Documentos,Media,4,Documentos obligatorios incompletos o ilegibles.,1 documento(s) faltantes o ilegibles.,False
ALT000032,SIN00009,RF-01,Cobertura,Critica,20,Cobertura de perdida total por robo requiere revision especializada.,Cobertura PTxRB.,True
ALT000033,SIN00009,RF-06,Denuncia,Media,4,Demora moderada en denuncia de robo.,33 horas hasta la denuncia.,False
ALT000034,SIN00009,RF-15,Frecuencia,Baja,3,Vehiculo con reincidencia moderada.,2 siniestros del vehiculo.,False
ALT000035,SIN00009,RF-16,Frecuencia,Alta,8,Conductor presente en multiples siniestros.,3 siniestros del conductor.,False
ALT000036,SIN00010,RF-08,Frecuencia,Media,4,Asegurado con frecuencia historica moderada.,2 siniestros previos.,False
ALT000037,SIN00010,RF-15,Frecuencia,Media,6,Vehiculo asociado a multiples siniestros.,3 siniestros del vehiculo.,False
ALT000038,SIN00010,RF-16,Frecuencia,Media,4,Conductor con reincidencia moderada.,2 siniestros del conductor.,False
ALT000039,SIN00011,RF-11,Documentos,Alta,10,"Documentos con fechas, valores o legibilidad inconsistentes.",1 documento(s) inconsistentes.,False
ALT000040,SIN00012,RF-16,Frecuencia,Media,4,Conductor con reincidencia moderada.,2 siniestros del conductor.,False
ALT000041,SIN00013,RF-08,Frecuencia,Media,4,Asegurado con frecuencia historica moderada.,2 siniestros previos.,False
ALT000042,SIN00013,RF-15,Frecuencia,Baja,3,Vehiculo con reincidencia moderada.,2 siniestros del vehiculo.,False
ALT000043,SIN00014,RF-06,Denuncia,Alta,8,Demora atipica en denuncia de robo.,55 horas hasta la denuncia.,False
ALT000044,SIN00014,RF-16,Frecuencia,Media,4,Conductor con reincidencia moderada.,2 siniestros del conductor.,False
ALT000045,SIN00015,RF-08,Frecuencia,Media,4,Asegurado con frecuencia historica moderada.,2 siniestros previos.,False
ALT000046,SIN00015,RF-15,Frecuencia,Baja,3,Vehiculo con reincidencia moderada.,2 siniestros del vehiculo.,False
ALT000047,SIN00016,RF-05,Vigencia,Alta,8,Siniestro muy cercano al inicio o fin de vigencia.,5 dias al borde de vigencia.,False
ALT000048,SIN00016,RF-11,Documentos,Alta,10,"Documentos con fechas, valores o legibilidad inconsistentes.",1 documento(s) inconsistentes.,False
ALT000049,SIN00016,RF-16,Frecuencia,Media,4,Conductor con reincidencia moderada.,2 siniestros del conductor.,False
ALT000050,SIN00016,RF-19,Dinamica,Baja,3,Accidente multiple o severo reportado de madrugada.,Flag de madrugada activado.,False
ALT000051,SIN00017,RF-05,Vigencia,Alta,8,Siniestro muy cercano al inicio o fin de vigencia.,1 dias al borde de vigencia.,False
ALT000052,SIN00017,RF-12,Reporte,Media,5,Reporte tardio frente a la ocurrencia.,Reporte despues de 14 dias.,False
ALT000053,SIN00017,RF-01,Cobertura,Critica,20,Cobertura de perdida total por robo requiere revision especializada.,Cobertura PTxRB.,True
ALT000054,SIN00017,RF-06,Denuncia,Alta,8,Demora atipica en denuncia de robo.,347 horas hasta la denuncia.,False
ALT000055,SIN00017,RF-18,Dinamica,Alta,6,Relato ilogico frente al tipo de impacto.,Inconsistencia narrativa simulada.,False
ALT000056,SIN00017,RF-19,Dinamica,Baja,3,Accidente multiple o severo reportado de madrugada.,Flag de madrugada activado.,False
ALT000057,SIN00017,RF-20,Tercero,Media,5,Danio relevante sin tercero identificado.,Tercero no identificado con monto relevante.,False
ALT000058,SIN00018,RF-08,Frecuencia,Alta,8,Asegurado con alta frecuencia historica de reclamos.,3 siniestros previos.,False
ALT000059,SIN00018,RF-15,Frecuencia,Media,6,Vehiculo asociado a multiples siniestros.,3 siniestros del vehiculo.,False
ALT000060,SIN00018,RF-16,Frecuencia,Alta,8,Conductor presente en multiples siniestros.,4 siniestros del conductor.,False
ALT000061,SIN00018,RF-17,Cobertura,Media,6,Frecuencia atipica de reclamos solo RC.,3 eventos RC del vehiculo.,False
ALT000062,SIN00019,RF-10,Documentos,Media,4,Documentos obligatorios incompletos o ilegibles.,1 documento(s) faltantes o ilegibles.,False
ALT000063,SIN00019,RF-15,Frecuencia,Baja,3,Vehiculo con reincidencia moderada.,2 siniestros del vehiculo.,False
ALT000064,SIN00019,RF-16,Frecuencia,Alta,8,Conductor presente en multiples siniestros.,4 siniestros del conductor.,False
ALT000065,SIN00020,RF-05,Vigencia,Alta,8,Siniestro muy cercano al inicio o fin de vigencia.,1 dias al borde de vigencia.,False
ALT000066,SIN00020,RF-12,Reporte,Media,5,Reporte tardio frente a la ocurrencia.,Reporte despues de 18 dias.,False
ALT000067,SIN00020,RF-03,Lista restrictiva,Critica,10,Coincidencia exacta con lista restrictiva simulada.,Proveedor o asegurado marcado en lista restrictiva de demo.,True
ALT000068,SIN00020,RF-09,Proveedor,Media,5,Proveedor con alta concentracion de reclamos.,82 reclamos asociados.,False
ALT000069,SIN00020,RF-11,Documentos,Alta,10,"Documentos con fechas, valores o legibilidad inconsistentes.",1 documento(s) inconsistentes.,False
ALT000070,SIN00020,RF-14,Monto,Media,5,Monto reclamado cercano a la suma asegurada o atipico para la cobertura.,Ratio contra suma asegurada: 0.76.,False
ALT000071,SIN00020,RF-06,Denuncia,Alta,8,Demora atipica en denuncia de robo.,439 horas hasta la denuncia.,False
ALT000072,SIN00020,RF-15,Frecuencia,Media,6,Vehiculo asociado a multiples siniestros.,5 siniestros del vehiculo.,False
ALT000073,SIN00020,RF-16,Frecuencia,Media,4,Conductor con reincidencia moderada.,2 siniestros del conductor.,False
ALT000074,SIN00020,RF-18,Dinamica,Alta,6,Relato ilogico frente al tipo de impacto.,Inconsistencia narrativa simulada.,False
ALT000075,SIN00020,RF-20,Tercero,Media,5,Danio relevante sin tercero identificado.,Tercero no identificado con monto relevante.,False
ALT000076,SIN00021,RF-08,Frecuencia,Media,4,Asegurado con frecuencia historica moderada.,2 siniestros previos.,False
ALT000077,SIN00021,RF-15,Frecuencia,Media,6,Vehiculo asociado a multiples siniestros.,4 siniestros del vehiculo.,False
ALT000078,SIN00021,RF-16,Frecuencia,Media,4,Conductor con reincidencia moderada.,2 siniestros del conductor.,False
ALT000079,SIN00021,RF-17,Cobertura,Media,6,Frecuencia atipica de reclamos solo RC.,3 eventos RC del vehiculo.,False
ALT000080,SIN00022,RF-01,Cobertura,Critica,20,Cobertura de perdida total por robo requiere revision especializada.,Cobertura PTxRB.,True
ALT000081,SIN00022,RF-06,Denuncia,Alta,8,Demora atipica en denuncia de robo.,80 horas hasta la denuncia.,False
ALT000082,SIN00022,RF-15,Frecuencia,Media,6,Vehiculo asociado a multiples siniestros.,4 siniestros del vehiculo.,False
ALT000083,SIN00022,RF-16,Frecuencia,Media,4,Conductor con reincidencia moderada.,2 siniestros del conductor.,False
ALT000084,SIN00023,RF-08,Frecuencia,Alta,8,Asegurado con alta frecuencia historica de reclamos.,3 siniestros previos.,False
ALT000085,SIN00023,RF-15,Frecuencia,Media,6,Vehiculo asociado a multiples siniestros.,4 siniestros del vehiculo.,False
ALT000086,SIN00023,RF-16,Frecuencia,Media,4,Conductor con reincidencia moderada.,2 siniestros del conductor.,False
ALT000087,SIN00024,RF-06,Denuncia,Media,4,Demora moderada en denuncia de robo.,35 horas hasta la denuncia.,False
ALT000088,SIN00024,RF-15,Frecuencia,Baja,3,Vehiculo con reincidencia moderada.,2 siniestros del vehiculo.,False
ALT000089,SIN00025,RF-11,Documentos,Alta,10,"Documentos con fechas, valores o legibilidad inconsistentes.",1 documento(s) inconsistentes.,False
ALT000090,SIN00026,RF-05,Vigencia,Alta,8,Siniestro muy cercano al inicio o fin de vigencia.,0 dias al borde de vigencia.,False
ALT000091,SIN00026,RF-12,Reporte,Baja,3,Reporte con demora moderada.,Reporte despues de 4 dias.,False
ALT000092,SIN00026,RF-09,Proveedor,Media,5,Proveedor con alta concentracion de reclamos.,59 reclamos asociados.,False
ALT000093,SIN00026,RF-10,Documentos,Media,4,Documentos obligatorios incompletos o ilegibles.,1 documento(s) faltantes o ilegibles.,False
ALT000094,SIN00026,RF-06,Denuncia,Alta,8,Demora atipica en denuncia de robo.,101 horas hasta la denuncia.,False
ALT000095,SIN00026,RF-15,Frecuencia,Media,6,Vehiculo asociado a multiples siniestros.,4 siniestros del vehiculo.,False
ALT000096,SIN00026,RF-20,Tercero,Media,5,Danio relevante sin tercero identificado.,Tercero no identificado con monto relevante.,False
ALT000097,SIN00027,RF-15,Frecuencia,Baja,3,Vehiculo con reincidencia moderada.,2 siniestros del vehiculo.,False
ALT000098,SIN00027,RF-16,Frecuencia,Media,4,Conductor con reincidencia moderada.,2 siniestros del conductor.,False
ALT000099,SIN00028,RF-08,Frecuencia,Alta,8,Asegurado con alta frecuencia historica de reclamos.,6 siniestros previos.,False
ALT000100,SIN00028,RF-01,Cobertura,Critica,20,Cobertura de perdida total por robo requiere revision especializada.,Cobertura PTxRB.,True
ALT000101,SIN00028,RF-06,Denuncia,Alta,8,Demora atipica en denuncia de robo.,58 horas hasta la denuncia.,False
ALT000102,SIN00028,RF-15,Frecuencia,Media,6,Vehiculo asociado a multiples siniestros.,3 siniestros del vehiculo.,False
ALT000103,SIN00028,RF-16,Frecuencia,Media,4,Conductor con reincidencia moderada.,2 siniestros del conductor.,False
ALT000104,SIN00029,RF-08,Frecuencia,Alta,8,Asegurado con alta frecuencia historica de reclamos.,3 siniestros previos.,False
ALT000105,SIN00029,RF-01,Cobertura,Critica,20,Cobertura de perdida total por robo requiere revision especializada.,Cobertura PTxRB.,True
ALT000106,SIN00029,RF-06,Denuncia,Alta,8,Demora atipica en denuncia de robo.,80 horas hasta la denuncia.,False
ALT000107,SIN00029,RF-15,Frecuencia,Media,6,Vehiculo asociado a multiples siniestros.,4 siniestros del vehiculo.,False
ALT000108,SIN00029,RF-16,Frecuencia,Media,4,Conductor con reincidencia moderada.,2 siniestros del conductor.,False
ALT000109,SIN00030,RF-08,Frecuencia,Media,4,Asegurado con frecuencia historica moderada.,2 siniestros previos.,False
ALT000110,SIN00030,RF-01,Cobertura,Critica,20,Cobertura de perdida total por robo requiere revision especializada.,Cobertura PTxRB.,True
ALT000111,SIN00030,RF-06,Denuncia,Alta,8,Demora atipica en denuncia de robo.,55 horas hasta la denuncia.,False
ALT000112,SIN00030,RF-15,Frecuencia,Baja,3,Vehiculo con reincidencia moderada.,2 siniestros del vehiculo.,False
ALT000113,SIN00030,RF-16,Frecuencia,Alta,8,Conductor presente en multiples siniestros.,3 siniestros del conductor.,False
ALT000114,SIN00031,RF-05,Vigencia,Alta,8,Siniestro muy cercano al inicio o fin de vigencia.,0 dias al borde de vigencia.,False
ALT000115,SIN00031,RF-09,Proveedor,Media,5,Proveedor con alta concentracion de reclamos.,59 reclamos asociados.,False
ALT000116,SIN00031,RF-11,Documentos,Alta,10,"Documentos con fechas, valores o legibilidad inconsistentes.",1 documento(s) inconsistentes.,False
ALT000117,SIN00031,RF-10,Documentos,Media,4,Documentos obligatorios incompletos o ilegibles.,1 documento(s) faltantes o ilegibles.,False
ALT000118,SIN00031,RF-01,Cobertura,Critica,20,Cobertura de perdida total por robo requiere revision especializada.,Cobertura PTxRB.,True
ALT000119,SIN00031,RF-06,Denuncia,Alta,8,Demora atipica en denuncia de robo.,82 horas hasta la denuncia.,False
ALT000120,SIN00031,RF-15,Frecuencia,Media,6,Vehiculo asociado a multiples siniestros.,4 siniestros del vehiculo.,False
ALT000121,SIN00031,RF-16,Frecuencia,Media,4,Conductor con reincidencia moderada.,2 siniestros del conductor.,False
ALT000122,SIN00031,RF-18,Dinamica,Alta,6,Relato ilogico frente al tipo de impacto.,Inconsistencia narrativa simulada.,False
ALT000123,SIN00032,RF-01,Cobertura,Critica,20,Cobertura de perdida total por robo requiere revision especializada.,Cobertura PTxRB.,True
ALT000124,SIN00032,RF-06,Denuncia,Alta,8,Demora atipica en denuncia de robo.,59 horas hasta la denuncia.,False
ALT000125,SIN00032,RF-16,Frecuencia,Alta,8,Conductor presente en multiples siniestros.,3 siniestros del conductor.,False
ALT000126,SIN00033,RF-08,Frecuencia,Media,4,Asegurado con frecuencia historica moderada.,2 siniestros previos.,False
ALT000127,SIN00034,RF-08,Frecuencia,Alta,8,Asegurado con alta frecuencia historica de reclamos.,5 siniestros previos.,False
ALT000128,SIN00034,RF-15,Frecuencia,Media,6,Vehiculo asociado a multiples siniestros.,4 siniestros del vehiculo.,False
ALT000129,SIN00034,RF-16,Frecuencia,Alta,8,Conductor presente en multiples siniestros.,3 siniestros del conductor.,False
ALT000130,SIN00034,RF-17,Cobertura,Media,6,Frecuencia atipica de reclamos solo RC.,3 eventos RC del vehiculo.,False
ALT000131,SIN00035,RF-01,Cobertura,Critica,20,Cobertura de perdida total por robo requiere revision especializada.,Cobertura PTxRB.,True
ALT000132,SIN00035,RF-06,Denuncia,Alta,8,Demora atipica en denuncia de robo.,51 horas hasta la denuncia.,False
ALT000133,SIN00035,RF-15,Frecuencia,Media,6,Vehiculo asociado a multiples siniestros.,4 siniestros del vehiculo.,False
ALT000134,SIN00035,RF-16,Frecuencia,Alta,8,Conductor presente en multiples siniestros.,4 siniestros del conductor.,False
ALT000135,SIN00036,RF-12,Reporte,Baja,3,Reporte con demora moderada.,Reporte despues de 4 dias.,False
ALT000136,SIN00036,RF-08,Frecuencia,Media,4,Asegurado con frecuencia historica moderada.,2 siniestros previos.,False
ALT000137,SIN00036,RF-01,Cobertura,Critica,20,Cobertura de perdida total por robo requiere revision especializada.,Cobertura PTxRB.,True
ALT000138,SIN00036,RF-06,Denuncia,Alta,8,Demora atipica en denuncia de robo.,103 horas hasta la denuncia.,False
ALT000139,SIN00036,RF-15,Frecuencia,Media,6,Vehiculo asociado a multiples siniestros.,5 siniestros del vehiculo.,False
ALT000140,SIN00036,RF-16,Frecuencia,Media,4,Conductor con reincidencia moderada.,2 siniestros del conductor.,False
ALT000141,SIN00037,RF-05,Vigencia,Media,4,Siniestro cercano al borde de vigencia.,12 dias al borde de vigencia.,False
ALT000142,SIN00037,RF-12,Reporte,Media,5,Reporte tardio frente a la ocurrencia.,Reporte despues de 12 dias.,False
ALT000143,SIN00037,RF-09,Proveedor,Media,5,Proveedor con alta concentracion de reclamos.,53 reclamos asociados.,False
ALT000144,SIN00037,RF-15,Frecuencia,Baja,3,Vehiculo con reincidencia moderada.,2 siniestros del vehiculo.,False
ALT000145,SIN00037,RF-16,Frecuencia,Media,4,Conductor con reincidencia moderada.,2 siniestros del conductor.,False
ALT000146,SIN00038,RF-15,Frecuencia,Media,6,Vehiculo asociado a multiples siniestros.,3 siniestros del vehiculo.,False
ALT000147,SIN00038,RF-16,Frecuencia,Alta,8,Conductor presente en multiples siniestros.,4 siniestros del conductor.,False
ALT000148,SIN00039,RF-08,Frecuencia,Media,4,Asegurado con frecuencia historica moderada.,2 siniestros previos.,False
ALT000149,SIN00039,RF-10,Documentos,Media,4,Documentos obligatorios incompletos o ilegibles.,1 documento(s) faltantes o ilegibles.,False
ALT000150,SIN00039,RF-06,Denuncia,Media,4,Demora moderada en denuncia de robo.,25 horas hasta la denuncia.,False
ALT000151,SIN00039,RF-15,Frecuencia,Media,6,Vehiculo asociado a multiples siniestros.,3 siniestros del vehiculo.,False
ALT000152,SIN00039,RF-16,Frecuencia,Alta,8,Conductor presente en multiples siniestros.,6 siniestros del conductor.,False
ALT000153,SIN00040,RF-12,Reporte,Baja,3,Reporte con demora moderada.,Reporte despues de 4 dias.,False
ALT000154,SIN00040,RF-09,Proveedor,Media,5,Proveedor con alta concentracion de reclamos.,59 reclamos asociados.,False
ALT000155,SIN00040,RF-15,Frecuencia,Baja,3,Vehiculo con reincidencia moderada.,2 siniestros del vehiculo.,False
ALT000156,SIN00040,RF-16,Frecuencia,Alta,8,Conductor presente en multiples siniestros.,3 siniestros del conductor.,False
ALT000157,SIN00040,RF-18,Dinamica,Alta,6,Relato ilogico frente al tipo de impacto.,Inconsistencia narrativa simulada.,False
ALT000158,SIN00041,RF-10,Documentos,Media,4,Documentos obligatorios incompletos o ilegibles.,1 documento(s) faltantes o ilegibles.,False
ALT000159,SIN00041,RF-16,Frecuencia,Alta,8,Conductor presente en multiples siniestros.,3 siniestros del conductor.,False
ALT000160,SIN00042,RF-15,Frecuencia,Baja,3,Vehiculo con reincidencia moderada.,2 siniestros del vehiculo.,False
ALT000161,SIN00043,RF-08,Frecuencia,Media,4,Asegurado con frecuencia historica moderada.,2 siniestros previos.,False
ALT000162,SIN00043,RF-15,Frecuencia,Baja,3,Vehiculo con reincidencia moderada.,2 siniestros del vehiculo.,False
ALT000163,SIN00043,RF-16,Frecuencia,Alta,8,Conductor presente en multiples siniestros.,3 siniestros del conductor.,False
ALT000164,SIN00044,RF-05,Vigencia,Alta,8,Siniestro muy cercano al inicio o fin de vigencia.,5 dias al borde de vigencia.,False
ALT000165,SIN00044,RF-12,Reporte,Media,5,Reporte tardio frente a la ocurrencia.,Reporte despues de 8 dias.,False
ALT000166,SIN00044,RF-03,Lista restrictiva,Critica,10,Coincidencia exacta con lista restrictiva simulada.,Proveedor o asegurado marcado en lista restrictiva de demo.,True
ALT000167,SIN00044,RF-09,Proveedor,Media,5,Proveedor con alta concentracion de reclamos.,82 reclamos asociados.,False
ALT000168,SIN00044,RF-10,Documentos,Media,4,Documentos obligatorios incompletos o ilegibles.,1 documento(s) faltantes o ilegibles.,False
ALT000169,SIN00044,RF-06,Denuncia,Alta,8,Demora atipica en denuncia de robo.,195 horas hasta la denuncia.,False
ALT000170,SIN00044,RF-15,Frecuencia,Baja,3,Vehiculo con reincidencia moderada.,2 siniestros del vehiculo.,False
ALT000171,SIN00044,RF-16,Frecuencia,Media,4,Conductor con reincidencia moderada.,2 siniestros del conductor.,False
ALT000172,SIN00044,RF-19,Dinamica,Baja,3,Accidente multiple o severo reportado de madrugada.,Flag de madrugada activado.,False
ALT000173,SIN00045,RF-12,Reporte,Baja,3,Reporte con demora moderada.,Reporte despues de 5 dias.,False
ALT000174,SIN00045,RF-09,Proveedor,Media,5,Proveedor con alta concentracion de reclamos.,59 reclamos asociados.,False
ALT000175,SIN00045,RF-01,Cobertura,Critica,20,Cobertura de perdida total por robo requiere revision especializada.,Cobertura PTxRB.,True
ALT000176,SIN00045,RF-06,Denuncia,Alta,8,Demora atipica en denuncia de robo.,128 horas hasta la denuncia.,False
ALT000177,SIN00045,RF-16,Frecuencia,Media,4,Conductor con reincidencia moderada.,2 siniestros del conductor.,False
ALT000178,SIN00045,RF-18,Dinamica,Alta,6,Relato ilogico frente al tipo de impacto.,Inconsistencia narrativa simulada.,False
ALT000179,SIN00046,RF-12,Reporte,Media,5,Reporte tardio frente a la ocurrencia.,Reporte despues de 8 dias.,False
ALT000180,SIN00046,RF-09,Proveedor,Media,5,Proveedor con alta concentracion de reclamos.,53 reclamos asociados.,False
ALT000181,SIN00046,RF-01,Cobertura,Critica,20,Cobertura de perdida total por robo requiere revision especializada.,Cobertura PTxRB.,True
ALT000182,SIN00046,RF-06,Denuncia,Alta,8,Demora atipica en denuncia de robo.,198 horas hasta la denuncia.,False
ALT000183,SIN00046,RF-15,Frecuencia,Media,6,Vehiculo asociado a multiples siniestros.,3 siniestros del vehiculo.,False
ALT000184,SIN00046,RF-16,Frecuencia,Media,4,Conductor con reincidencia moderada.,2 siniestros del conductor.,False
ALT000185,SIN00046,RF-19,Dinamica,Baja,3,Accidente multiple o severo reportado de madrugada.,Flag de madrugada activado.,False
ALT000186,SIN00047,RF-05,Vigencia,Media,4,Siniestro cercano al borde de vigencia.,12 dias al borde de vigencia.,False
ALT000187,SIN00047,RF-12,Reporte,Media,5,Reporte tardio frente a la ocurrencia.,Reporte despues de 12 dias.,False
ALT000188,SIN00047,RF-14,Monto,Media,5,Monto reclamado cercano a la suma asegurada o atipico para la cobertura.,Ratio contra suma asegurada: 0.86.,False
ALT000189,SIN00047,RF-01,Cobertura,Critica,20,Cobertura de perdida total por robo requiere revision especializada.,Cobertura PTxRB.,True
ALT000190,SIN00047,RF-06,Denuncia,Alta,8,Demora atipica en denuncia de robo.,295 horas hasta la denuncia.,False
ALT000191,SIN00047,RF-15,Frecuencia,Media,6,Vehiculo asociado a multiples siniestros.,3 siniestros del vehiculo.,False
ALT000192,SIN00047,RF-18,Dinamica,Alta,6,Relato ilogico frente al tipo de impacto.,Inconsistencia narrativa simulada.,False
ALT000193,SIN00047,RF-20,Tercero,Media,5,Danio relevante sin tercero identificado.,Tercero no identificado con monto relevante.,False
ALT000194,SIN00048,RF-08,Frecuencia,Alta,8,Asegurado con alta frecuencia historica de reclamos.,3 siniestros previos.,False
ALT000195,SIN00048,RF-15,Frecuencia,Media,6,Vehiculo asociado a multiples siniestros.,3 siniestros del vehiculo.,False
ALT000196,SIN00048,RF-16,Frecuencia,Alta,8,Conductor presente en multiples siniestros.,4 siniestros del conductor.,False
ALT000197,SIN00049,RF-08,Frecuencia,Media,4,Asegurado con frecuencia historica moderada.,2 siniestros previos.,False
ALT000198,SIN00049,RF-01,Cobertura,Critica,20,Cobertura de perdida total por robo requiere revision especializada.,Cobertura PTxRB.,True
ALT000199,SIN00049,RF-06,Denuncia,Alta,8,Demora atipica en denuncia de robo.,57 horas hasta la denuncia.,False
ALT000200,SIN00049,RF-15,Frecuencia,Baja,3,Vehiculo con reincidencia moderada.,2 siniestros del vehiculo.,False
ALT000201,SIN00049,RF-16,Frecuencia,Alta,8,Conductor presente en multiples siniestros.,3 siniestros del conductor.,False
ALT000202,SIN00050,RF-15,Frecuencia,Baja,3,Vehiculo con reincidencia moderada.,2 siniestros del vehiculo.,False
ALT000203,SIN00050,RF-16,Frecuencia,Alta,8,Conductor presente en multiples siniestros.,5 siniestros del conductor.,False
ALT000204,SIN00051,RF-16,Frecuencia,Media,4,Conductor con reincidencia moderada.,2 siniestros del conductor.,False
ALT000205,SIN00052,RF-10,Documentos,Media,4,Documentos obligatorios incompletos o ilegibles.,1 documento(s) faltantes o ilegibles.,False
ALT000206,SIN00052,RF-01,Cobertura,Critica,20,Cobertura de perdida total por robo requiere revision especializada.,Cobertura PTxRB.,True
ALT000207,SIN00052,RF-15,Frecuencia,Media,6,Vehiculo asociado a multiples siniestros.,3 siniestros del vehiculo.,False
ALT000208,SIN00052,RF-16,Frecuencia,Media,4,Conductor con reincidencia moderada.,2 siniestros del conductor.,False
ALT000209,SIN00053,RF-08,Frecuencia,Alta,8,Asegurado con alta frecuencia historica de reclamos.,5 siniestros previos.,False
ALT000210,SIN00053,RF-01,Cobertura,Critica,20,Cobertura de perdida total por robo requiere revision especializada.,Cobertura PTxRB.,True
ALT000211,SIN00053,RF-15,Frecuencia,Media,6,Vehiculo asociado a multiples siniestros.,3 siniestros del vehiculo.,False
ALT000212,SIN00053,RF-16,Frecuencia,Media,4,Conductor con reincidencia moderada.,2 siniestros del conductor.,False
ALT000213,SIN00054,RF-08,Frecuencia,Alta,8,Asegurado con alta frecuencia historica de reclamos.,3 siniestros previos.,False
ALT000214,SIN00054,RF-15,Frecuencia,Baja,3,Vehiculo con reincidencia moderada.,2 siniestros del vehiculo.,False
ALT000215,SIN00054,RF-16,Frecuencia,Media,4,Conductor con reincidencia moderada.,2 siniestros del conductor.,False
ALT000216,SIN00055,RF-06,Denuncia,Media,4,Demora moderada en denuncia de robo.,32 horas hasta la denuncia.,False
ALT000217,SIN00055,RF-16,Frecuencia,Media,4,Conductor con reincidencia moderada.,2 siniestros del conductor.,False
ALT000218,SIN00056,RF-05,Vigencia,Alta,8,Siniestro muy cercano al inicio o fin de vigencia.,0 dias al borde de vigencia.,False
ALT000219,SIN00056,RF-12,Reporte,Baja,3,Reporte con demora moderada.,Reporte despues de 5 dias.,False
ALT000220,SIN00056,RF-08,Frecuencia,Alta,8,Asegurado con alta frecuencia historica de reclamos.,5 siniestros previos.,False
